"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20232631","미션 임파서블: 데드 레코닝 PART ONE","2023-07-12","3114652151","40.1","1704601518","120.9","27134013987","298526","157187","111.2","2670895","1616","6003"
"2","2","0","OLD","20228930","엘리멘탈","2023-06-14","1961139558","25.2","1120332557","133.2","47795199049","196240","109216","125.5","4838720","1163","4159"
"3","3","0","OLD","20232536","명탐정코난: 흑철의 어영","2023-07-20","860893666","11.1","161971405","23.2","2670693946","86302","8668","11.2","286522","952","2843"
"4","4","0","OLD","20232740","바비","2023-07-19","602718082","7.8","198658331","49.2","1927232837","58479","13396","29.7","206828","767","2111"
"5","5","0","OLD","20232778","인시디어스: 빨간 문","2023-07-19","584435883","7.5","190259819","48.3","1918873210","54968","14945","37.3","193018","750","1751"
"6","6","2","OLD","20232639","극장판 슈퍼윙스: 맥시멈 스피드","2023-07-20","144330834","1.9","103808680","256.2","271779392","15626","10820","225.1","30469","403","495"
"7","7","-1","OLD","20219331","여름날 우리","2021-08-25","121832214","1.6","40288936","49.4","3060943427","11749","3114","36.1","312083","216","356"
"8","8","1","OLD","20232556","슈퍼 키드 헤일리","2023-07-20","57563156","0.7","20868986","56.9","116594853","6057","2170","55.8","12641","176","194"
"9","9","2","OLD","20226411","범죄도시3","2023-05-31","38440011","0.5","14130525","58.1","104579209059","4463","1487","50","10669808","176","219"
"10","10","-3","OLD","20218541","밀수","2023-07-26","49151500","0.6","-3051500","-5.8","383758500","4282","-1185","-21.7","38615","13","14""rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","1","OLD","20232631","미션 임파서블: 데드 레코닝 PART ONE","2023-07-12","1410050633","34.3","410798075","41.1","24019361836","141339","38313","37.2","2372369","1691","6144"
"2","2","1","OLD","20228930","엘리멘탈","2023-06-14","840807001","20.4","221139052","35.7","45834059491","87024","19660","29.2","4642480","1023","3333"
"3","3","-2","OLD","20232536","명탐정코난: 흑철의 어영","2023-07-20","698922261","17.0","-354646251","-33.7","1809800280","77634","-40299","-34.2","200220","1005","2706"
"4","4","0","OLD","20232740","바비","2023-07-19","404059751","9.8","79350280","24.4","1324514755","45083","8243","22.4","148349","748","2341"
"5","5","0","OLD","20232778","인시디어스: 빨간 문","2023-07-19","394176064","9.6","45740144","13.1","1334437327","40023","3453","9.4","138050","758","1716"
"6","6","1","OLD","20219331","여름날 우리","2021-08-25","81543278","2.0","8553882","11.7","2939111213","8635","750","9.5","300334","208","350"
"7","7","1","OLD","20218541","밀수","2023-07-26","52203000","1.3","-16730000","-24.3","334607000","5467","-1498","-21.5","34333","26","27"
"8","8","1","OLD","20232639","극장판 슈퍼윙스: 맥시멈 스피드","2023-07-20","40522154","1.0","-16960250","-29.5","127448558","4806","-2124","-30.6","14843","303","347"
"9","9","3","OLD","20232556","슈퍼 키드 헤일리","2023-07-20","36694170","0.9","22545643","159.3","59031697","3887","2081","115.2","6584","160","177"
"10","10","1","OLD","20232180","스파이더맨: 어크로스 더 유니버스","2023-06-21","29953238","0.7","7285272","32.1","9197389396","3121","752","31.7","891506","96","123"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20112703","다크 나이트 라이즈","2012-07-19","5729813500","64.8","2015973000","54.3","12597542500","766939","263798","52.4","1712032","1198","5449"
"2","2","0","OLD","20124062","연가시","2012-07-05","1412945500","16.0","514576500","57.3","28584451164","195822","68657","54","4003791","510","2570"
"3","3","1","OLD","20127306","명탐정 코난: 11번째 스트라이커","2012-07-19","532755000","6.0","380112500","249","777317500","83062","59875","258.2","120332","337","980"
"4","4","-1","OLD","20126077","어메이징 스파이더맨","2012-06-28","579422500","6.6","252477500","77.2","40132999023","76217","32855","75.8","4714734","343","1290"
"5","5","1","OLD","20124058","5백만불의 사나이","2012-07-19","160336000","1.8","15031000","10.3","412856000","21967","1227","5.9","58558","321","902"
"6","6","-1","OLD","20125916","두 개의 달","2012-07-12","137148500","1.6","-5857000","-4.1","2639606026","20246","-1114","-5.2","380794","197","541"
"7","7","4","OLD","20127108","모모와 다락방의 수상한 요괴들","2012-07-05","89216000","1.0","77108000","636.8","1847989500","13671","11770","619.1","279136","109","233"
"8","8","-1","OLD","20126686","미드나잇 인 파리","2012-07-05","72318638","0.8","6868275","10.5","1921147198","9150","348","4","260598","79","148"
"9","9","5","OLD","20124136","마다가스카3 : 이번엔 서커스다!","2012-06-06","37929000","0.4","34434500","985.4","12457584500","5264","4537","624.1","1619325","52","82"
"10","10","-2","OLD","20113391","나는 공무원이다","2012-07-12","13731000","0.2","-12582500","-47.8","1501492000","1920","-2036","-51.5","212527","41","100"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20112703","다크 나이트 라이즈","2012-07-19","5392272500","65.1","-337541000","-5.9","17989815000","722050","-44889","-5.9","2434082","1210","5314"
"2","2","0","OLD","20124062","연가시","2012-07-05","1247653000","15.1","-165292500","-11.7","29832104164","172169","-23653","-12.1","4175960","525","2463"
"3","3","0","OLD","20127306","명탐정 코난: 11번째 스트라이커","2012-07-19","547316500","6.6","14561500","2.7","1324634000","84158","1096","1.3","204490","350","998"
"4","4","0","OLD","20126077","어메이징 스파이더맨","2012-06-28","533043500","6.4","-46379000","-8","40666042523","70258","-5959","-7.8","4784992","339","1211"
"5","5","0","OLD","20124058","5백만불의 사나이","2012-07-19","156709000","1.9","-3627000","-2.3","569565000","21236","-731","-3.3","79794","315","839"
"6","6","0","OLD","20125916","두 개의 달","2012-07-12","123099000","1.5","-14049500","-10.2","2762705026","17823","-2423","-12","398617","199","527"
"7","7","0","OLD","20127108","모모와 다락방의 수상한 요괴들","2012-07-05","102235500","1.2","13019500","14.6","1950225000","15253","1582","11.6","294389","107","238"
"8","8","0","OLD","20126686","미드나잇 인 파리","2012-07-05","60519000","0.7","-11799638","-16.3","1981666198","7636","-1514","-16.5","268234","76","136"
"9","9","0","OLD","20124136","마다가스카3 : 이번엔 서커스다!","2012-06-06","40569500","0.5","2640500","7","12498154000","5443","179","3.4","1624768","48","80"
"10","10","0","OLD","20113391","나는 공무원이다","2012-07-12","11193500","0.1","-2537500","-18.5","1512685500","1553","-367","-19.1","214080","41","90"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","NEW","20232536","명탐정코난: 흑철의 어영","2023-07-20","1053568512","27.9","1053568512","100","1110878019","117933","117933","100","122586","1030","2683"
"2","2","-1","OLD","20232631","미션 임파서블: 데드 레코닝 PART ONE","2023-07-12","999252558","26.4","-107723400","-9.7","22609311203","103026","-10199","-9","2231030","1673","5893"
"3","3","-1","OLD","20228930","엘리멘탈","2023-06-14","619667949","16.4","-109005669","-15","44993252490","67364","-10601","-13.6","4555456","954","3022"
